Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,Marca,Producto ,Tipo,Cantidad (L),Precio La Comer,Precio por L,Precio por gr,Precio por lavada,
,Suavitel,Abrazos de amor,Liquido ,1.3,53.5,41.15384615,0.04115384615,2.469230769,
,,Acqua,,0.7,35,50,0.05,3,
,,,,1.25,53.5,42.8,0.0428,2.568,
,,,,2.8,131,46.78571429,0.04678571429,2.807142857,
,,Anochecer ,,1.3,53.5,41.15384615,0.04115384615,2.469230769,
,,Anochecer complete,,0.7,35,50,0.05,3,
,,Anochecer cuidado superior ,,0.74,29,39.18918919,0.03918918919,2.351351351,
,,Antibacterial,,1.25,53.5,42.8,0.0428,2.568,
,,Aroma de sol,,1.5,70.5,47,0.047,2.82,
,,,,4.8,174.5,36.35416667,0.03635416667,2.18125,1.491452991
,,Fresco aroma de sol,,0.7,35,50,0.05,3,
,,,,0.74,29,39.18918919,0.03918918919,2.351351351,
,,,,1.3,57.5,44.23076923,0.04423076923,2.653846154,
,,Fresca primavera,,0.7,35,50,0.05,3,
,,,,0.74,29,39.18918919,0.03918918919,2.351351351,
,,,,1.3,57.5,44.23076923,0.04423076923,2.653846154,
,,,,2.8,131,46.78571429,0.04678571429,2.807142857,
,,Bebé,,0.74,29,39.18918919,0.03918918919,2.351351351,
,,Cuidado superior ,,4.8,166,34.58333333,0.03458333333,2.075,
,,Sports freshness,,2.8,119.5,42.67857143,0.04267857143,2.560714286,
,Ensueño ,Bebé,Liquido ,0.85,24,28.23529412,0.02823529412,1.694117647,
,,,,1.5,46,30.66666667,0.03066666667,1.84,
,,,,2.8,79.5,28.39285714,0.02839285714,1.703571429,
,,Durazno y vainilla,,9,250,27.77777778,0.02777777778,1.666666667,
,,Fresca armonía,,0.85,24,28.23529412,0.02823529412,1.694117647,
,,Frescura azul,,0.85,24,28.23529412,0.02823529412,1.694117647,
,,,,1.3,43.5,33.46153846,0.03346153846,2.007692308,
,,,,1.5,46,30.66666667,0.03066666667,1.84,
,,,,2.6,74.5,28.65384615,0.02865384615,1.719230769,
,,,,2.8,79.5,28.39285714,0.02839285714,1.703571429,
,,Frescura primaverial,,0.85,22,25.88235294,0.02588235294,1.552941176,
,,,,1.5,46,30.66666667,0.03066666667,1.84,
,,,,2.6,74.5,28.65384615,0.02865384615,1.719230769,
,,,,5.1,131,25.68627451,0.02568627451,1.541176471,
,,Lichi argan,,2.8,79.5,28.39285714,0.02839285714,1.703571429,
,,Primaveral Max,,2.8,79.5,28.39285714,0.02839285714,1.703571429,
,,Sensación natural,,1.5,46,30.66666667,0.03066666667,1.84,
,,,,2.8,79.5,28.39285714,0.02839285714,1.703571429,
,,Ultra frescura azul,,3.7,133,35.94594595,0.03594594595,2.156756757,
,Golden Hills,Lavanda,Liquido,5,154.5,30.9,0.0309,1.854,
,,Floral,,5,154.5,30.9,0.0309,1.854,
,,Frescura,,5,154.5,30.9,0.0309,1.854,
,,Primavera,,5,154.5,30.9,0.0309,1.854,
,Downy ,Suave y Gentil ,Liquido ,2.8,84.5,30.17857143,0.03017857143,1.810714286,
,,Elegance,,2.6,102,39.23076923,0.03923076923,2.353846154,
,,Passion ,,2.6,102,39.23076923,0.03923076923,2.353846154,
,,Pureza silvestre,,2.8,84.5,30.17857143,0.03017857143,1.810714286,
,,Floral,,2.8,84.5,30.17857143,0.03017857143,1.810714286,
,,Amanecer,,2.8,84.5,30.17857143,0.03017857143,1.810714286,
,,Romance,,2.6,102,39.23076923,0.03923076923,2.353846154,
,,Aroma floral,,4.8,148.5,30.9375,0.0309375,1.85625,
,,Suave y Gentil ,,0.8,30,37.5,0.0375,2.25,
,,Amanecer,,0.7,26.5,37.85714286,0.03785714286,2.271428571,
,,Passion ,,0.75,34.5,46,0.046,2.76,
,,Elegance,,4.8,148.5,30.9375,0.0309375,1.85625,
,,Pureza silvestre,,1.4,48,34.28571429,0.03428571429,2.057142857,
,,Floral,,1.4,48,34.28571429,0.03428571429,2.057142857,
,,Amanecer,,4.8,148.5,30.9375,0.0309375,1.85625,
,,Amanecer,,1.4,48,34.28571429,0.03428571429,2.057142857,
,,Romance,,0.75,34.5,46,0.046,2.76,
,,Jardín de rosas,,2.6,80,30.76923077,0.03076923077,1.846153846,
,,,,,78.95901639,35.71335269,,2.142801161,
,,,,,,,,,
,,,,,,1000,35.71335269,,
,,,,,,60,2.142801161,Precio SUAVIZANTE promedio x lavada ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Marca,Producto ,Tipo,Cantidad (L),Precio La Comer,Precio por L,Precio por gr,Precio por lavada,
,Suavitel,,Liquido ,0.7,35,,,,
,,,,1.5,70.5,,,,
,,,,2.8,125.25,,,,
,,,,4.8,170.25,,,,
,Ensueño,,Liquido ,0.85,23,,,,
,,,,1.5,46,,,,
,,,,2.8,79.5,,,,
,,,,3.7,133,,,,
,,,,5.1,131,,,,
,,,,9,250,,,,
,Golden Hills,,Liquido,5,154.5,,,,
,Downy ,,Liquido ,0.7,26.5,,,,
,,,,1.4,55,,,,
,,,,2.8,116,,,,
,,,,4.8,148.5,,,,
